id	enum	Actividad_Economica	CIIU
1	ASOCIACION DE COMERCIALIZADORES DE GANADO Y CARNES DE CUBARA		A0141
2	POLLOS PETETE	CRÍA DE AVES DE CORRAL COMERCIO AL POR MENOR DE CARNES	A0145
3	GRANJA BRISAS DEL ARAUCA	Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados CrÍa de aves de corral.	A0145
4	SANCHEZ APONTE ROBINSON	EXPLOTACION MIXTA (AGRICOLA Y PECUARIA) COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES  ALQUILER	A0150
5	CAICEDO MORENO FREDDY	ACTIVIDAD MIXTA AGRICOLA Y PECUARIA. COMERCIO DE PRODUCTOS AGROPECUARIOS Y ANIMALES VIVOS.	A0150
6	ASOCIACION DE CACAOTEROS DEL MUNICIPIO DE CUBARA-BOYACA PAZ Y PROGRESO		A0150
7	AGRO- CONSTRUCCIONES P&W SAS	ACTIVIDADES DE APOYO A LA AGRICULTURA  CONSTRUCCIÓN DE EDIFICIOS NO RESIDENCIALES  COMERCIO AL POR MENOR DE OTROS ARTÍCULOS DOMÉSTICOS.	A0161
8	ASOCIACION DE AGRICULTORES DE CUBARA		A0161
9	ASOCIACION DE PISCICULTORES DEL PIEDEMONTE SARAREÑO		A0322
10	ASOCIACION AGROPISCICOLA TIPO EXPORTACION		A0322
11	ASOCIACION DE PISCICULTORES CUBARA BOYACA		A0322
12	LACTEOS ELIAN	ELABORACIÓN Y COMERCIO DE PRODUCTOS LÁCTEOS	C1040
13	PANADERIA Y PASTELERIA ZAYRA	ELABORACIÓN Y VENTA DE PRODUCTOS DE PANADERÍA CAFETERIA	C1081
14	DELICIAS DE DOÑA TATA	TRANSFORMACIÓN DE CACAO EN CHOCOLATETRADICIONAL  PROPAGACIÓN DE PLANTAS  FABRICACIÓN DE ABONOS ORGÁNICOS  Y ACTIVIDADES DE APOYO A LA AGRICULTURA.	C1082
15	DONDE MATHIE	CONFECCION DE PRENDAS DE VESTIR COMERCIO AL POR MENOR DE LIBROS  PERIODICOS  MATERIALES ELABORACION DE COMIDAS Y PLATOS PREPARADOS COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES EN ESTABLECIMIENTO	C1410
16	TEAM BAKUA	Confección de prendas de vestir  excepto prendas de piel  Organización de convenciones y eventos comerciales  Comercio al por menor de artículos deportivos	C1410
17	CREACIONES GRIMA`S	CONFECCION DE PRENDAS DE VESTIR ELABORACION DE PRENDAS DEPORTIVAS	C1410
18	CARPINTERIA TANA	Fabricacion de partes y piezas de madera  de carpinteria y ebanisteria  Fabricacion de muebles	C1630
19	CARPINTERIA  MORINELLY	FABRICACION DE PARTES Y PIEZAS DE MADERA  DE CARPINTERIA Y EBANISTERIA PARA LA CONSTRUCCION COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO  MUEBLES Y EQUIPOS DE ILUMINACION	C1630
20	RODRIGUEZ GUTIERREZ JOSE NOEL	FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN  CEMENTO Y YESO FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS N.C.P.	C2395
21	FABRIORIENTE WCJ	comercio de lavaderos prefabricados  ladrillos  cajas de inspección  tubería comercio de pego para cerámica	C2395
22	METALICAS EL FOCO	FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL EXPENDIO A LA MESA DE COMIDAS PREPARADAS	C2511
23	TALLER METALMECANICO VILLA	FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL  MANTENIMIENTO Y REPARACIÓN DE PRODUCTOS ELABORADOS EN METAL	C2511
24	ASERRIO LA MANIGUA	COMERCIALIZACIÓN DE MADERA  FABRICACION DE MUEBLES EN GENERAL.	C3110
25	TALLER EL MAQUINISTA	REPARACIÓN Y MANTENIMIENTO DE GUADAÑAS Y LA DE VENTA DE SUS REPUESTOS.	C3312
26	ARGUELLO TRUJILLO CRISTIAN ENRIQUE	MANTENIMIENTO DE EQUIPOS MÉDICOS  COMERCIO DE SUMINISTROS DE REPUESTOS Y ACCESORIOS PARA DISPOSITIVOS MEDICOS Y MOBILIARIOS HOSPITALARIOS.	C3313
27	MECÁNICA Y MANTENIMIENTO INDUSTRIAL CASTILLO	MANTENIMIENTO INDUSTRIAL  MECÁNICO ELÉCTRICO METALMECÁNICO INDUSTRIAL  SUMINISTRO Y REPUESTOS MATERIALES Y EQUIPO INDUSTRIAL	C3320
28	SEPULVEDA MARIN JUAN PABLO	1. CONSTRUCCION DE EDIFICIOS RESIDENCIALES 2. COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO  MUEBLES Y EQUIPOS DE ILUMINACION	F4111
29	BECERRA MORA  NELSO	CONSTRUCCION DE EDIFICIOS RESIDENCIALES	F4111
30	ASOCIACION POPULAR DE VIVIENDA RENACER DEL CAMPO		F4111
31	SUMINISTROS REPARACIONES Y CONSTRUCCIONES DEL SARARE LTDA.		F4220
32	CONSTRUINDUCIVIL S.A.S	MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES  COMERCIO DE PARTES  PIEZAS Y REPUESTOS  COMERCIO DE LUBRICANTES  CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL.	F4220
33	LOPEZ OCHOA WILSON YOVANNI	1. CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL 2. ACTIVIDADES DE ESPECTACULOS MUSICALES EN VIVO	F4290
34	SIRUA INVERSIONES S.A.S		F4290
35	ASOCIACION DE MAQUINARIA PESADA DEL NORTE DE SANTANDER	MANTENIMIENTO Y REPARACION DE OTROS EQUIPOS  TRANSPORTE MIXTO  COMERCIO DE MATERIALES DE CONSTRUCCION Y FERRETERIA. CATERING PARA EVENTOS.	F4290
36	COOPERATIVA DE TRABAJO ASOCIADO CUBARA BOYACA		F4290
37	CONSTRUCCIONES SERVICIOS Y SUMINISTROS ALFEL S.A.S		F4290
38	DUCFA S.A.S		F4321
39	ESTACION DE SERVICIO AUTOMOTRIZ EL RUISEÑOR	COMERCIO DE COMBUSTIBLES PARA AUTOMOTORES  COMERCIO DE LUBRICANTES  (ACEITES  GRASAS) ADITIVOS.	G4731
40	BARRERA CAMARGO DIANA CAROLINA	TERMINACIÓN Y ACABO DE EDIFICACIONES Y OBRAS DE INGENIERÍA CIVIL. COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMESTICOS  COMERCIO DE COMPUTADORES Y EQUIPOS  PERIFERICOS. FORMACIÓN ACADÉMICA NO FORMAL	F4330
41	ALVAREZ GELVEZ WALFREDO	OTRAS ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCION DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL	F4390
42	TALLER DE MECANICA DAVSEL	MANTENIMIENTO Y REPARACION DE VEHICULOS COMERCIO DE PARTES  PIEZAS	G4520
43	MOTO REPUESTOS SAMIR	COMERCIO DE PIEZAS  PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES	G4530
44	REPUESTOS Y LUBRICANTES EL DESVARE	COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHÍCULOS AUTOMOTORES MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHÍCULOS AUTOMOTORES  PRODUCTOS DE ASEO	G4530
45	ALMACEN Y REPUESTOS CUBARA MOTOS	COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS)	G4530
46	SOSSA LUNA ANGELMIRO	COMISIONISTA POR VENTAS DE INMUEBLES.	G4610
47	VIVERES FRUTAS Y VERDURAS DANY	COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS  COMERCIO AL POR MENOR DE VÍVERES EN GENERAL  ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA Y SERVICIO DE TRANSPORTE DE PASAJEROS.	G4620
48	SUMINISTRO Y DOTACIONES TRILLOS	COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS  COMERCIO AL POR MENOR DE VÍVERES EN GENERAL  ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA Y COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA.	G4620
49	SUMINISTROS E&A	COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS  COMERCIO DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR  ACTIVIDADES DE APOYO A LA AGRICULTURA  OTRAS ACTIVIDADES PROFESIONALES  CIENTIFICAS Y TECNICAS N.C.P	G4620
50	AGROPUNTO EL NORTEÑO	COMERCIO AL POR MAYOR DE PRODUCTOS ALIMENTICIOS COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA  PINTURAS Y PRODUCTOS DE VIDRIO EN ESTABLECIMIENTOS ESPECIALIZADOS	G4631
51	SEPULVEDA SUESCUN BLANCA IRENE	COMERCIO AL POR MAYOR DE APARATOS Y EQUIPOS DE USO DOMESTICO  COMERCIO DE COMPUTADORES  EQUIPOS PERIFÉRICOS Y PROGRAMAS DE INFORMATIVA  COMERCIO DE CALZADO.	G4644
52	DROGUERIA GALENA	VENTA DE PRODUCTOS FARMACÉUTICOS EN GENERAL.	G4645
53	DISPENSARIO CUBARA MYT SALUD IPS SAS	COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y DE TOCADOR.	G4645
54	ARAUJO NAJAR OSCAR DAVID	COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMESTICOS  COMERCIO AL POR MAYOR DE PRODUCTOS QUIMICOS BASICOS  COMERCIO AL POR MENOR DE VIVERES EN GENERAL Y ACTIVIDADES DE JUEGOS DE SUERTE Y AZAR	G4649
55	PRATO BOGOTA MILANYELY DAYNAYLE	SERVICIO DE INTERPRETACIÓN DE LA LENGUA UWA	M7490
56	FRASCO SUMINISTROS  CONSTRUCCIONES E INGENIERIA S.A.S	Comercio al por mayor de otros utensilios domésticos. Comercio al por mayor de otros tipos de maquinaria y equipo. Construcción de otras obras de ingeniería civil.	G4649
57	SERVI CELL LEAL	1. COMERCIO DE ACCESORIOS DE CELULARES 2. MANTENIMIENTO Y REPARACION DE EQUIPOS DE COMUNICACION 3. RECARGAS	G4652
58	S & M GONZALEZ S.A.S	COMERCIO AL MAYOR DE MATERIALES DE CONSTRUCCION  COMERCIO DE VIVERES  PRODUCTOS AGRICOLAS Y ELECTRODOMESTICOS.	G4659
59	ESTACION DE SERVICIO BRISAS DEL BOJABA	1. COMERCIO AL POR MAYOR DE COMBUSTIBLES SOLIDOS  LIQUIDOS  GASEOSOS Y PRODUCTOS CONEXOS 2. COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES	G4661
60	FERREMATERIALES CUBARA	COMERCIO AL POR MAYOR Y AL MENOR DE MATERIALES PARA CONSTRUCCIÓN  ARTÍCULOS DE FERRETERÍA  ARTÍCULOS ELÉCTRICOS. COMERCIO DE ELECTRODOMÉSTICOS Y MUEBLES EN GENERAL.	G4663
61	CAFER DISTRIBUCIONES	COMERCIO DE PRODUCTOS QUÍMICOS  ABONOS ORGÁNICOS E INORGÁNICOS  MATERIAS PRIMAS AGROPECUARIAS  PRODUCTOS VETERINARIOS Y PARA EL AGRO. ACTIVIDADES VETERINARIAS Y OTRAS ACTIVIDADES PROFESIONALES Y TÉCNICAS.	G4664
62	TIENDA CAÑITAS	VENTA DE VIVERES Y ABARROTES PARA LA CANASTA FAMILIAR	G4711
63	VIVERES LA MEGA ECONOMICA	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
64	DISTRIBUIDORA BLANCO LEAL	COMERCIO DE VÍVERES Y PRODUCTOS DE LA CANASTA FAMILIAR  COMERCIO DE PRODUCTOS DE ASEO Y DEL HOGAR  COMERCIO DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS  COMERCIO DE CARNES  POLLO Y PRODUCTOS CÁRNICOS	G4711
65	SUMINISTROS Y ABARROTES SALOME	COMERCIO DE VÍVERES Y ABARROTES  COMERCIO DE FRUTAS Y VERDURAS EN GENERAL  COMERCIO DE ARTÍCULOS DE LIMPIEZA  CACHARRERIA  COMERCIO DE COMIDAS PREPARADAS	G4711
66	MINITIENDA CAIMITO	VENTA DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
67	AUTOSERVICIO JUAN`MA	COMERCIO AL POR MENOR DE VÍVERES Y ABARROTES EN GENERAL.	G4711
68	VIVERES SORANY	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS  BEBIDAS O TABACO	G4711
69	ESTACIÓN DE SERVICIO EL ROCIO	COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES POR MEDIO DE UNA ESTACIÓN DE SERVICIO  TRANSPORTE DE CARGA POR CARRETERA COMERCIO AL POR MENOR DE LUBRICANTES ACEITES  GRASAS PARA VEHÍCULOS AUTOMOTORES.	G4731
70	VIVERES D&C	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS  BEBIDAS O TABACO COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL)  PRODUCTOS CARNICOS  PESCADOS Y PRODUCTOS DE MAR  EN ESTABLECIMIENTOS ESPECIALIZADOS COMERCIO AL POR MENOR DE LECHE  PRODUCTOS LACTEOS Y HUEVOS  EN ESTABLECIMIENTOS ESPECIALIZADOS	G4711
71	INVERSIONES ESDAYED	1. COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS  BEBIDAS O TABACO 2. COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS 3. COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL)  PRODUCTOS CARNICOS  PESCADOS Y PRODUCTOS DE MAR  EN ESTABLECIMIENTOS ESPECIALIZADOS	G4711
72	TIENDA TRUJILLO MARQUEZ	VENTA DE VIVERES Y PRODUCTOS DE LA CANASTA DE FAMILIAR	G4711
73	ABASTOS BARICHARA	VENTA DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
74	VIVERES SHALOM H&E	COMERCIO AL POR MENOR DE VÍVERES DE LA CANASTA FAMILIAR.	G4711
75	VIVERES RANGEL	COMERCIO AL POR MENOR DE VIVERES Y ABARROTES EN GENERAL	G4711
76	VIVERES GRIMAR	COMERCIO AL POR MENOR DE VÍVERES  ABARROTES EN GENERAL Y BEBIDAS GASEOSAS  COMERCIO DE ARTÍCULOS DE MISCELANEA Y CACHARRERIA.	G4711
77	SUMINISTROS MI SALO	COMERCIO AL POR MENOR DE VÍVERES Y PRODUCTOS DE LA CANASTA FAMILIAR  SERVICIO DE ALQUILER Y ARRENDAMIENTO DE MAQUINARIA Y EQUIPOS  COMERCIO AL POR MENOR DE FRUTAS Y VERDURAS  COMERCIO AL POR MENOR DE PAPELERÍA Y EXPEDIO DE COMIDAS PREPARADAS.	G4711
78	VÍVERES MEGA OFERTA	COMERCIO DE VÍVERES EN GENERAL  FRUTAS VERDURAS  COMERCIO DE CARNE  POLLO  PRODUCTOS CÁRNICOS  EMBUTIDOS LECHE  HUEVO  LÁCTEOS  VENTA DE GAS	G4711
79	SHIVARA DE COLOMBIA	COMERCIO DE VIVERES  SERVICIO DE CATERING PARA EVENTOS Y SERVICIO DE ALOJAMIENTO PARA VISITANTES	G4711
80	AUTOSERVICIO ARANA	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
81	ESTANCO DONDE POLITA	EXPENDIO DE BEBIDAS ALCOHOLICAS PARA EL CONSUMO DENTRO DEL ESTABLECIMIENTO	G4711
82	QUINTERO CAMARGO JHON JAIRO	CONSTRUCCIÓN DE OBRAS CIVILES	F4111
83	VIVERES LA MORENITA	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
84	QINTO EMPERADOR	comercio de víveres  insumos agropecuarios y animales vivos  Organización de convenciones y eventos comerciales  Expendio a la mesa de comidas preparadas	G4711
85	SUMINISTROS Y MAQUINARIA RODRIGUEZ	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR  COMERCIO DE PRODUCTOS AGRICOLAS  ALQUILER Y ARRENDAMIENTO DE MAQUINARIA PESADA Y AGROPECUARIA  CATERING PARA EVENTOS	G4711
86	NARANJA SWEET	1. COMERCIO DE VARIEDADES Y ACCESORIO Y PELUCHERIA  2. COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS 3. COMERCIO AL POR MENOR DE TODO TIPO DE CALZADO	G4719
87	VARIEDADES CHARLOTTE	Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados	G4719
88	DECORACIONES LANDA	SERVICIO DE DECORACIONES  PIÑATERIA  DESAYUNOS SORPRESAS  VENTA DE DETALLES Y COMERCIO DE PAPELERIA.	G4719
89	CACHARRERIA Y VARIEDADES DIANA	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS  CON SURTIDO COMPUESTO PRINCIPALMENTE POR PRODUCTOS DIFERENTES DE ALIMENTOS (VIVERES EN GENERAL)  BEBIDAS Y TABACO	G4719
90	CACHARRERIA CAMACHO	COMERCIO DE VARIEDADES Y CACHARRERIA	G4719
91	VARIEDADES JANY	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS	G4719
92	CACHARRERIA Y VARIEDADES EVELING	1. COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS 2. COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS	G4719
93	VARIEDADES  LUPIHOGAR	COMERCIO AL POR MENOR DE PRODUCTOS Y ARTÍCULOS EN GENERAL  ELECTRODOMESTICOS  SERVICIO DE MENSAJERIA.	G4719
94	NUEVA EMPRESA PROMOTORA DE SALUD SA	ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA.	O8430
95	SUMINISTROS MIA SALOME	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS  CON SURTIDO COMPUESTO PRINCIPALMENTE POR PRODUCTOS DIFERENTES DE ALIMENTO  COMERCIO AL POR MENOR DE CARNES  CATERING PARA EVENTOS  TRANSPORTE MIXTO	G4719
96	FRUTOS SAN REY	Comercio al por menor de productos agricolas para el consumo	G4721
97	FRUTAS Y VERDURAS CHARITO	COMERCIO AL POR MENOR DE PRODUCTOS AGRÍCOLAS  FRUTAS Y VERDURAS.	G4721
98	RESTAURANTE LA SAZON DE ISSA	COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS  BEBIDAS O TABACO EXPENDIO A LA MESA DE COMIDAS PREPARADAS	G4721
