lottery_name;winning_number;digits_4;digits_3;2_digit;draw_date
TriplexOnce1;0172;0172;172;01;2026-02-08
TriplexOnce2;0390;0390;390;03;2026-02-08
TriplexOnce3;0985;0985;985;09;2026-02-08
TriplexOnce4;0130;0130;130;01;2026-02-08
TriplexOnce5;0584;0584;584;05;2026-02-08
Dorado noche;3989 La 5ta: 4;3989;989;39;2026-02-08
Culona;4099;4099;099;40;2026-02-08
Astro Luna;4016 Cancer;4016;016;40;2026-02-08
Pijao de oro;2733 La 5ta: 4;2733;733;27;2026-02-08
Paisita dia;5876 La 5ta: 7;5876;876;58;2026-02-08
Paisita noche;7779;7779;779;77;2026-02-08
Chontico dia;1535 La 5ta: 8;1535;535;15;2026-02-08
Chontico noche;7467 La 5ta: 1;7467;467;74;2026-02-08
Cafeterito noche;0956 La 5ta: 4;0956;956;09;2026-02-08
Sinuano dia;7642 La 5ta: 1;7642;642;76;2026-02-08
Sinuano noche;4137 La 5ta: 0;4137;137;41;2026-02-08
Cash three dia;0908;0908;908;09;2026-02-08
Play four dia;3729;3729;729;37;2026-02-08
Saman dia;8730;8730;730;87;2026-02-08
Caribeña dia;4103 La 5ta: 3;4103;103;41;2026-02-08
Caribeña noche;3938 La 5ta: 5;3938;938;39;2026-02-08
Motilon Tarde;3493 La 5ta: 7;3493;493;34;2026-02-08
Motilon Noche;7038 La 5ta: 0;7038;038;70;2026-02-08
Fantastica Noche;0451 La 5ta: 0;0451;451;04;2026-02-08
Antioqueñita Dia;4145 La 5ta: 4;4145;145;41;2026-02-08
Antioqueñita Tarde;6149 La 5ta: 1;6149;149;61;2026-02-08
Culona noche;3233;3233;233;32;2026-02-08
