lottery_name,winning_number,digits_4,digits_3,2_digit,draw_date
Boyaca,6625 353,6625,625,66,2026-02-21
Cauca,7711 199,7711,711,77,2026-02-21
Dorado mañana,5142 La 5ta: 5,5142,142,51,2026-02-21
Dorado Tarde,8365 La 5ta: 9,8365,365,83,2026-02-21
Dorado noche,5768 La 5ta: 4,5768,768,57,2026-02-21
Culona,3671,3671,671,36,2026-02-21
Astro sol,7945 Tauro,7945,945,79,2026-02-21
Astro Luna,7055 Acuario,7055,055,70,2026-02-21
Pijao de oro,6756 La 5ta: 1,6756,756,67,2026-02-21
Paisita dia,3023 La 5ta: 2,3023,023,30,2026-02-21
Paisita noche,4095,4095,095,40,2026-02-21
Chontico dia,6131 La 5ta: 3,6131,131,61,2026-02-21
Chontico noche,1163 La 5ta: 4,1163,163,11,2026-02-21
Cafeterito tarde,2080 La 5ta: 6,2080,080,20,2026-02-21
Cafeterito noche,6277 La 5ta: 1,6277,277,62,2026-02-21
Sinuano dia,1742 La 5ta: 4,1742,742,17,2026-02-21
Sinuano noche,1829 La 5ta: 5,1829,829,18,2026-02-21
Cash three dia,0915,0915,915,09,2026-02-21
Cash three noche,0947,0947,947,09,2026-02-21
Play four dia,0047,0047,047,00,2026-02-21
Play four noche,7883,7883,883,78,2026-02-21
Saman dia,7678,7678,678,76,2026-02-21
Caribeña dia,3177 La 5ta: 9,3177,177,31,2026-02-21
Caribeña noche,7339 La 5ta: 8,7339,339,73,2026-02-21
Motilon Tarde,6224 La 5ta: 9,6224,224,62,2026-02-21
Motilon Noche,4137 La 5ta: 3,4137,137,41,2026-02-21
Paisita 3,2253 La 5ta: 6,2253,253,22,2026-02-21
Fantastica dia,0564 La 5ta: 0,0564,564,05,2026-02-21
Fantastica Noche,7619 La 5ta: 2,7619,619,76,2026-02-21
Antioqueñita Dia,5633 La 5ta: 9,5633,633,56,2026-02-21
Antioqueñita Tarde,1365 La 5ta: 5,1365,365,13,2026-02-21
Culona noche,5228,5228,228,52,2026-02-21
