lottery_name;winning_number;digits_4;digits_3;2_digit;draw_date
TriplexOnce1;0138;0138;138;01;2026-01-01
TriplexOnce2;0586;0586;586;05;2026-01-01
TriplexOnce3;0002;0002;002;00;2026-01-01
TriplexOnce4;0120;0120;120;01;2026-01-01
TriplexOnce5;0333;0333;333;03;2026-01-01
Dorado noche;9892 La 5ta: 1;9892;892;98;2026-01-01
Astro Luna;2414 Acuario;2414;414;24;2026-01-01
Pijao de oro;9770 La 5ta: 6;9770;770;97;2026-01-01
Paisita dia;1490 La 5ta: 1;1490;490;14;2026-01-01
Paisita noche;2599;2599;599;25;2026-01-01
Chontico dia;5024 La 5ta: 8;5024;024;50;2026-01-01
Chontico noche;2987 La 5ta: 6;2987;987;29;2026-01-01
Cafeterito noche;5630 La 5ta: 1;5630;630;56;2026-01-01
Cash three dia;0195;0195;195;01;2026-01-01
Play four dia;1135;1135;135;11;2026-01-01
Saman dia;9296;9296;296;92;2026-01-01
Caribeña dia;6994 La 5ta: 5;6994;994;69;2026-01-01
Caribeña noche;1652 La 5ta: 0;1652;652;16;2026-01-01
Motilon Tarde;8067 La 5ta: 3;8067;067;80;2026-01-01
Motilon Noche;8629 La 5ta: 9;8629;629;86;2026-01-01
Fantastica Noche;8202 La 5ta: 1;8202;202;82;2026-01-01
Antioqueñita Dia;0730 La 5ta: 9;0730;730;07;2026-01-01
Antioqueñita Tarde;6512 La 5ta: 8;6512;512;65;2026-01-01
Culona noche;5277;5277;277;52;2026-01-01
TriplexOnce1;0931;0931;931;09;2026-01-02
TriplexOnce2;0328;0328;328;03;2026-01-02
TriplexOnce3;0970;0970;970;09;2026-01-02
TriplexOnce4;0688;0688;688;06;2026-01-02
TriplexOnce5;0615;0615;615;06;2026-01-02
Medellin;2541 138;2541;541;25;2026-01-02
Santander;8733 235;8733;733;87;2026-01-02
Dorado mañana;3002 La 5ta: 6;3002;002;30;2026-01-02
Dorado Tarde;8627 La 5ta: 4;8627;627;86;2026-01-02
Culona;6787;6787;787;67;2026-01-02
Astro sol;8567 Capricornio;8567;567;85;2026-01-02
Astro Luna;0836 Acuario;0836;836;08;2026-01-02
Pijao de oro;8070 La 5ta: 7;8070;070;80;2026-01-02
Paisita dia;0154 La 5ta: 7;0154;154;01;2026-01-02
Paisita noche;0394;0394;394;03;2026-01-02
Chontico dia;9336 La 5ta: 1;9336;336;93;2026-01-02
Chontico noche;6979 La 5ta: 2;6979;979;69;2026-01-02
Cafeterito tarde;0889 La 5ta: 7;0889;889;08;2026-01-02
Cafeterito noche;7685 La 5ta: 9;7685;685;76;2026-01-02
Sinuano dia;7544 La 5ta: 5;7544;544;75;2026-01-02
Sinuano noche;9719;9719;719;97;2026-01-02
Cash three dia;0862;0862;862;08;2026-01-02
Play four dia;5559;5559;559;55;2026-01-02
Saman dia;4238;4238;238;42;2026-01-02
Caribeña dia;8863 La 5ta: 9;8863;863;88;2026-01-02
Caribeña noche;1180;1180;180;11;2026-01-02
Motilon Tarde;5604 La 5ta: 2;5604;604;56;2026-01-02
Motilon Noche;4090 La 5ta: 9;4090;090;40;2026-01-02
Fantastica dia;9420 La 5ta: 8;9420;420;94;2026-01-02
Fantastica Noche;9239 La 5ta: 6;9239;239;92;2026-01-02
Antioqueñita Dia;0150 La 5ta: 2;0150;150;01;2026-01-02
Antioqueñita Tarde;9455 La 5ta: 8;9455;455;94;2026-01-02
Culona noche;3311;3311;311;33;2026-01-02
TriplexOnce1;0106;0106;106;01;2026-01-03
TriplexOnce2;0505;0505;505;05;2026-01-03
TriplexOnce3;0860;0860;860;08;2026-01-03
TriplexOnce4;0358;0358;358;03;2026-01-03
TriplexOnce5;0014;0014;014;00;2026-01-03
Dorado mañana;9216 La 5ta: 5;9216;216;92;2026-01-03
Dorado Tarde;5586 La 5ta: 6;5586;586;55;2026-01-03
Dorado noche;1888 La 5ta: 3;1888;888;18;2026-01-03
Culona;0414;0414;414;04;2026-01-03
Astro sol;4117 Escorpion;4117;117;41;2026-01-03
Astro Luna;0539 Cancer;0539;539;05;2026-01-03
Pijao de oro;4951 La 5ta: 4;4951;951;49;2026-01-03
Paisita dia;6024 La 5ta: 1;6024;024;60;2026-01-03
Paisita noche;7544;7544;544;75;2026-01-03
Chontico dia;9782 La 5ta: 0;9782;782;97;2026-01-03
Chontico noche;6289 La 5ta: 9;6289;289;62;2026-01-03
Cafeterito tarde;9507 La 5ta: 3;9507;507;95;2026-01-03
Cafeterito noche;8879 La 5ta: 1;8879;879;88;2026-01-03
Sinuano dia;8099 La 5ta: 0;8099;099;80;2026-01-03
Sinuano noche;6570;6570;570;65;2026-01-03
Cash three dia;0708;0708;708;07;2026-01-03
Play four dia;9431;9431;431;94;2026-01-03
Saman dia;2303;2303;303;23;2026-01-03
Caribeña dia;9255 La 5ta: 5;9255;255;92;2026-01-03
Caribeña noche;0709;0709;709;07;2026-01-03
Motilon Tarde;8850 La 5ta: 7;8850;850;88;2026-01-03
Motilon Noche;1531 La 5ta: 2;1531;531;15;2026-01-03
Fantastica dia;0738 La 5ta: 2;0738;738;07;2026-01-03
Fantastica Noche;6157 La 5ta: 1;6157;157;61;2026-01-03
Antioqueñita Dia;4344 La 5ta: 0;4344;344;43;2026-01-03
Antioqueñita Tarde;2453 La 5ta: 1;2453;453;24;2026-01-03
Culona noche;7093;7093;093;70;2026-01-03
TriplexOnce1;0228;0228;228;02;2026-01-04
TriplexOnce2;0815;0815;815;08;2026-01-04
TriplexOnce3;0704;0704;704;07;2026-01-04
TriplexOnce4;0034;0034;034;00;2026-01-04
TriplexOnce5;0885;0885;885;08;2026-01-04
Dorado noche;7731 La 5ta: 8;7731;731;77;2026-01-04
Culona;8523;8523;523;85;2026-01-04
Astro Luna;7413 Géminis;7413;413;74;2026-01-04
Pijao de oro;5081 La 5ta: 3;5081;081;50;2026-01-04
Paisita dia;4318 La 5ta: 0;4318;318;43;2026-01-04
Paisita noche;3654;3654;654;36;2026-01-04
Chontico dia;2109 La 5ta: 0;2109;109;21;2026-01-04
Chontico noche;0948 La 5ta: 6;0948;948;09;2026-01-04
Cafeterito noche;6083 La 5ta: 8;6083;083;60;2026-01-04
Sinuano dia;3577 La 5ta: 3;3577;577;35;2026-01-04
Sinuano noche;8615 La 5ta: 3;8615;615;86;2026-01-04
Cash three dia;0171;0171;171;01;2026-01-04
Play four dia;9455;9455;455;94;2026-01-04
Saman dia;1027;1027;027;10;2026-01-04
Caribeña dia;4379 La 5ta: 2;4379;379;43;2026-01-04
Caribeña noche;7643 La 5ta: 6;7643;643;76;2026-01-04
Motilon Tarde;0918 La 5ta: 4;0918;918;09;2026-01-04
Motilon Noche;4339 La 5ta: 4;4339;339;43;2026-01-04
Fantastica Noche;8690 La 5ta: 3;8690;690;86;2026-01-04
Antioqueñita Dia;5651 La 5ta: 6;5651;651;56;2026-01-04
Antioqueñita Tarde;3151 La 5ta: 0;3151;151;31;2026-01-04
Culona noche;2351;2351;351;23;2026-01-04
TriplexOnce1;0884;0884;884;08;2026-01-05
TriplexOnce2;0246;0246;246;02;2026-01-05
TriplexOnce3;0989;0989;989;09;2026-01-05
TriplexOnce4;0361;0361;361;03;2026-01-05
TriplexOnce5;0530;0530;530;05;2026-01-05
Dorado mañana;1430 La 5ta: 0;1430;430;14;2026-01-05
Dorado Tarde;4385 La 5ta: 2;4385;385;43;2026-01-05
Culona;1843;1843;843;18;2026-01-05
Astro sol;2081 Cancer;2081;081;20;2026-01-05
Astro Luna;0235 Libra;0235;235;02;2026-01-05
Pijao de oro;6204 La 5ta: 4;6204;204;62;2026-01-05
Paisita dia;6659 La 5ta: 8;6659;659;66;2026-01-05
Paisita noche;3785;3785;785;37;2026-01-05
Chontico dia;1969 La 5ta: 0;1969;969;19;2026-01-05
Chontico noche;9618 La 5ta: 0;9618;618;96;2026-01-05
Cafeterito tarde;3326 La 5ta: 4;3326;326;33;2026-01-05
Cafeterito noche;4717 La 5ta: 4;4717;717;47;2026-01-05
Sinuano dia;1667 La 5ta: 2;1667;667;16;2026-01-05
Sinuano noche;4189;4189;189;41;2026-01-05
Cash three dia;0080;0080;080;00;2026-01-05
Play four dia;8541;8541;541;85;2026-01-05
Saman dia;2058;2058;058;20;2026-01-05
Caribeña dia;7592 La 5ta: 5;7592;592;75;2026-01-05
Caribeña noche;3866;3866;866;38;2026-01-05
Motilon Tarde;6671 La 5ta: 1;6671;671;66;2026-01-05
Motilon Noche;4410 La 5ta: 4;4410;410;44;2026-01-05
Fantastica dia;3528 La 5ta: 0;3528;528;35;2026-01-05
Fantastica Noche;4927 La 5ta: 6;4927;927;49;2026-01-05
Antioqueñita Dia;4778 La 5ta: 0;4778;778;47;2026-01-05
Antioqueñita Tarde;7552 La 5ta: 8;7552;552;75;2026-01-05
Culona noche;7257;7257;257;72;2026-01-05
TriplexOnce1;0411;0411;411;04;2026-01-06
TriplexOnce2;0688;0688;688;06;2026-01-06
TriplexOnce3;0166;0166;166;01;2026-01-06
TriplexOnce4;0028;0028;028;00;2026-01-06
TriplexOnce5;0272;0272;272;02;2026-01-06
Dorado mañana;9776 La 5ta: 8;9776;776;97;2026-01-06
Dorado Tarde;9501 La 5ta: 5;9501;501;95;2026-01-06
Culona;0967;0967;967;09;2026-01-06
Astro sol;8206 Libra;8206;206;82;2026-01-06
Astro Luna;1711 Libra;1711;711;17;2026-01-06
Pijao de oro;5535 La 5ta: 5;5535;535;55;2026-01-06
Paisita dia;7160 La 5ta: 4;7160;160;71;2026-01-06
Paisita noche;3576;3576;576;35;2026-01-06
Chontico dia;6966 La 5ta: 5;6966;966;69;2026-01-06
Chontico noche;0541 La 5ta: 2;0541;541;05;2026-01-06
Cafeterito tarde;4421 La 5ta: 3;4421;421;44;2026-01-06
Cafeterito noche;3893 La 5ta: 1;3893;893;38;2026-01-06
Sinuano dia;0037 La 5ta: 2;0037;037;00;2026-01-06
Sinuano noche;3484;3484;484;34;2026-01-06
Cash three dia;0209;0209;209;02;2026-01-06
Play four dia;7889;7889;889;78;2026-01-06
Saman dia;4108;4108;108;41;2026-01-06
Caribeña dia;3989 La 5ta: 4;3989;989;39;2026-01-06
Caribeña noche;2131;2131;131;21;2026-01-06
Motilon Tarde;2506 La 5ta: 1;2506;506;25;2026-01-06
Motilon Noche;7484 La 5ta: 9;7484;484;74;2026-01-06
Fantastica dia;8436 La 5ta: 9;8436;436;84;2026-01-06
Fantastica Noche;8213 La 5ta: 7;8213;213;82;2026-01-06
Antioqueñita Dia;3518 La 5ta: 8;3518;518;35;2026-01-06
Antioqueñita Tarde;1639 La 5ta: 1;1639;639;16;2026-01-06
Culona noche;7308;7308;308;73;2026-01-06
TriplexOnce1;0585;0585;585;05;2026-01-07
TriplexOnce2;0979;0979;979;09;2026-01-07
TriplexOnce3;0898;0898;898;08;2026-01-07
TriplexOnce4;0208;0208;208;02;2026-01-07
TriplexOnce5;0668;0668;668;06;2026-01-07
Dorado mañana;9642 La 5ta: 4;9642;642;96;2026-01-07
Dorado Tarde;6524 La 5ta: 8;6524;524;65;2026-01-07
Culona;8511;8511;511;85;2026-01-07
Astro sol;6794 Géminis;6794;794;67;2026-01-07
Astro Luna;7888 Tauro;7888;888;78;2026-01-07
Pijao de oro;8680 La 5ta: 0;8680;680;86;2026-01-07
Paisita dia;8590 La 5ta: 4;8590;590;85;2026-01-07
Paisita noche;1874;1874;874;18;2026-01-07
Chontico dia;8377 La 5ta: 3;8377;377;83;2026-01-07
Chontico noche;8918 La 5ta: 6;8918;918;89;2026-01-07
Cafeterito tarde;8487 La 5ta: 8;8487;487;84;2026-01-07
Cafeterito noche;9206 La 5ta: 8;9206;206;92;2026-01-07
Sinuano dia;5462 La 5ta: 7;5462;462;54;2026-01-07
Sinuano noche;0677;0677;677;06;2026-01-07
Cash three dia;0434;0434;434;04;2026-01-07
Play four dia;7065;7065;065;70;2026-01-07
Saman dia;5414;5414;414;54;2026-01-07
Caribeña dia;1191 La 5ta: 6;1191;191;11;2026-01-07
Caribeña noche;9563;9563;563;95;2026-01-07
Motilon Tarde;0104 La 5ta: 7;0104;104;01;2026-01-07
Motilon Noche;9023 La 5ta: 2;9023;023;90;2026-01-07
Fantastica dia;0740 La 5ta: 5;0740;740;07;2026-01-07
Fantastica Noche;7841 La 5ta: 6;7841;841;78;2026-01-07
Antioqueñita Dia;2765 La 5ta: 9;2765;765;27;2026-01-07
Antioqueñita Tarde;8998 La 5ta: 8;8998;998;89;2026-01-07
Culona noche;1325;1325;325;13;2026-01-07
TriplexOnce1;0314;0314;314;03;2026-01-08
TriplexOnce2;0624;0624;624;06;2026-01-08
TriplexOnce3;0290;0290;290;02;2026-01-08
TriplexOnce4;0734;0734;734;07;2026-01-08
TriplexOnce5;0729;0729;729;07;2026-01-08
Quindio;1252 188;1252;252;12;2026-01-08
Dorado mañana;1317 La 5ta: 5;1317;317;13;2026-01-08
Dorado Tarde;7084 La 5ta: 2;7084;084;70;2026-01-08
Culona;9710;9710;710;97;2026-01-08
Astro sol;4114 Aries;4114;114;41;2026-01-08
Astro Luna;9513 Libra;9513;513;95;2026-01-08
Pijao de oro;3680 La 5ta: 9;3680;680;36;2026-01-08
Paisita dia;6306 La 5ta: 6;6306;306;63;2026-01-08
Paisita noche;7629;7629;629;76;2026-01-08
Chontico dia;6851 La 5ta: 3;6851;851;68;2026-01-08
Chontico noche;8212 La 5ta: 2;8212;212;82;2026-01-08
Cafeterito tarde;0628 La 5ta: 7;0628;628;06;2026-01-08
Cafeterito noche;8235 La 5ta: 8;8235;235;82;2026-01-08
Sinuano dia;8994 La 5ta: 1;8994;994;89;2026-01-08
Sinuano noche;6766;6766;766;67;2026-01-08
Cash three dia;0429;0429;429;04;2026-01-08
Play four dia;2514;2514;514;25;2026-01-08
Saman dia;5202;5202;202;52;2026-01-08
Caribeña dia;2610 La 5ta: 0;2610;610;26;2026-01-08
Caribeña noche;9693;9693;693;96;2026-01-08
Motilon Tarde;7851 La 5ta: 4;7851;851;78;2026-01-08
Motilon Noche;6740 La 5ta: 5;6740;740;67;2026-01-08
Fantastica dia;1740 La 5ta: 8;1740;740;17;2026-01-08
Fantastica Noche;7359 La 5ta: 7;7359;359;73;2026-01-08
Antioqueñita Dia;9154 La 5ta: 4;9154;154;91;2026-01-08
Antioqueñita Tarde;7200 La 5ta: 3;7200;200;72;2026-01-08
Culona noche;1753;1753;753;17;2026-01-08
TriplexOnce1;0730;0730;730;07;2026-01-09
TriplexOnce2;0449;0449;449;04;2026-01-09
TriplexOnce3;0770;0770;770;07;2026-01-09
TriplexOnce4;0685;0685;685;06;2026-01-09
TriplexOnce5;0928;0928;928;09;2026-01-09
Medellin;0256 264;0256;256;02;2026-01-09
Santander;5358 120;5358;358;53;2026-01-09
Dorado mañana;3193 La 5ta: 7;3193;193;31;2026-01-09
Dorado Tarde;8059 La 5ta: 6;8059;059;80;2026-01-09
Culona;4474;4474;474;44;2026-01-09
Astro sol;4316 Capricornio;4316;316;43;2026-01-09
Astro Luna;2663 Aries;2663;663;26;2026-01-09
Pijao de oro;2519 La 5ta: 8;2519;519;25;2026-01-09
Paisita dia;0464 La 5ta: 0;0464;464;04;2026-01-09
Paisita noche;8233;8233;233;82;2026-01-09
Chontico dia;7820 La 5ta: 0;7820;820;78;2026-01-09
Chontico noche;0488 La 5ta: 2;0488;488;04;2026-01-09
Cafeterito tarde;8924 La 5ta: 9;8924;924;89;2026-01-09
Cafeterito noche;7297 La 5ta: 9;7297;297;72;2026-01-09
Sinuano dia;5395 La 5ta: 2;5395;395;53;2026-01-09
Sinuano noche;1383 La 5ta: 8;1383;383;13;2026-01-09
Cash three dia;0860;0860;860;08;2026-01-09
Play four dia;8963;8963;963;89;2026-01-09
Saman dia;7578;7578;578;75;2026-01-09
Caribeña dia;2204 La 5ta: 5;2204;204;22;2026-01-09
Caribeña noche;0183 La 5ta: 5;0183;183;01;2026-01-09
Motilon Tarde;3097 La 5ta: 1;3097;097;30;2026-01-09
Motilon Noche;4354 La 5ta: 6;4354;354;43;2026-01-09
Fantastica dia;5191 La 5ta: 3;5191;191;51;2026-01-09
Fantastica Noche;0064 La 5ta: 8;0064;064;00;2026-01-09
Antioqueñita Dia;7682 La 5ta: 0;7682;682;76;2026-01-09
Antioqueñita Tarde;2038 La 5ta: 6;2038;038;20;2026-01-09
Culona noche;8978;8978;978;89;2026-01-09
TriplexOnce1;0825;0825;825;08;2026-01-10
TriplexOnce2;0631;0631;631;06;2026-01-10
TriplexOnce3;0901;0901;901;09;2026-01-10
TriplexOnce4;0963;0963;963;09;2026-01-10
TriplexOnce5;0353;0353;353;03;2026-01-10
Dorado mañana;6925 la 5ta:0;6925;925;69;2026-01-10
Dorado Tarde;3388 la 5ta:4;3388;388;33;2026-01-10
Dorado noche;6854 La 5ta: 9;6854;854;68;2026-01-10
Culona;2464;2464;464;24;2026-01-10
Astro sol;4867 Signo LEO;4867;867;48;2026-01-10
